LOCATION,Date,MINTEMP,MAXTEMP
Catahoula,10/6/2015,70,89
Catahoula,10/7/2015,68,97
Catahoula,10/8/2015,78,97
Catahoula,10/9/2015,75,94
Catahoula,10/10/2015,68,88
Catahoula,10/11/2015,60,87
Catahoula,10/12/2015,66,91
Catahoula,10/13/2015,63,96
Catahoula,10/14/2015,61,90
Catahoula,10/15/2015,60,95
Catahoula,10/16/2015,62,99
Catahoula,10/17/2015,60,85
Catahoula,10/18/2015,54,83
Catahoula,10/19/2015,52,89
Catahoula,10/20/2015,65,89
Catahoula,10/21/2015,69,90
Catahoula,10/22/2015,77,87
Catahoula,10/23/2015,72,91
Catahoula,10/24/2015,77,84
Catahoula,10/25/2015,72,76
Catahoula,10/26/2015,73,80
Catahoula,10/27/2015,66,75
Catahoula,10/28/2015,65,91
Catahoula,10/29/2015,61,91
Catahoula,10/30/2015,61,86
Catahoula,10/31/2015,72,79
Catahoula,11/1/2015,70,70
Catahoula,11/2/2015,72,77
Catahoula,11/3/2015,69,73
Catahoula,11/4/2015,65,88
Catahoula,11/5/2015,72,87
Catahoula,11/6/2015,72,90
Catahoula,11/7/2015,66,78
Catahoula,11/8/2015,60,80
Catahoula,11/9/2015,52,68
Catahoula,11/10/2015,63,80
Catahoula,11/11/2015,65,90
Catahoula,11/12/2015,57,80
Catahoula,11/13/2015,50,74
Catahoula,11/14/2015,56,77
Catahoula,11/15/2015,55,75
Catahoula,11/16/2015,71,80
Catahoula,11/17/2015,66,91
Catahoula,11/18/2015,55,75
Catahoula,11/19/2015,57,74
Catahoula,11/20/2015,56,78
Catahoula,11/21/2015,48,67
Catahoula,11/22/2015,40,58
Catahoula,11/23/2015,36,66
Catahoula,11/24/2015,45,67
Catahoula,11/25/2015,54,84
Catahoula,11/26/2015,71,82
Catahoula,11/27/2015,70,84
Catahoula,11/28/2015,62,87
Catahoula,11/29/2015,66,85
Catahoula,11/30/2015,72,86
Catahoula,12/1/2015,62,72
Catahoula,12/2/2015,55,65
Catahoula,12/3/2015,46,60
Catahoula,12/4/2015,48,67
Catahoula,12/5/2015,40,76
Catahoula,12/6/2015,47,77
Catahoula,12/7/2015,47,76
Catahoula,12/8/2015,48,74
Catahoula,12/9/2015,56,74
Catahoula,12/10/2015,51,85
Catahoula,12/11/2015,71,84
Catahoula,12/12/2015,71,84
Catahoula,12/13/2015,60,84
Catahoula,12/14/2015,53,77
Catahoula,12/15/2015,53,78
Catahoula,12/16/2015,67,79
Catahoula,12/17/2015,49,62
Catahoula,12/18/2015,46,65
Catahoula,12/19/2015,33,69
Catahoula,12/20/2015,37,79
Catahoula,12/21/2015,66,77
Catahoula,12/22/2015,67,72
Catahoula,12/23/2015,66,85
Catahoula,12/24/2015,74,82
Catahoula,12/25/2015,82,85
Catahoula,12/26/2015,80,86
Catahoula,12/27/2015,77,90
Catahoula,12/28/2015,50,80
Catahoula,12/29/2015,45,58
Catahoula,12/30/2015,58,64
Catahoula,12/31/2015,53,63
BenHur,1/1/2015,44,57
BenHur,1/2/2015,59,68
BenHur,1/3/2015,64,80
BenHur,1/4/2015,47,62
BenHur,1/5/2015,37,49
BenHur,1/6/2015,32,67
BenHur,1/7/2015,32,54
BenHur,1/8/2015,22,41
BenHur,1/9/2015,34,38
BenHur,1/10/2015,34,48
BenHur,1/11/2015,47,65
BenHur,1/12/2015,49,61
BenHur,1/13/2015,41,52
BenHur,1/14/2015,38,44
BenHur,1/15/2015,38,54
BenHur,1/16/2015,32,61
BenHur,1/17/2015,38,60
BenHur,1/18/2015,50,78
BenHur,1/19/2015,37,75
BenHur,1/20/2015,42,73
BenHur,1/21/2015,46,77
BenHur,1/22/2015,46,64
BenHur,1/23/2015,44,51
BenHur,1/24/2015,36,61
BenHur,1/25/2015,43,67
BenHur,1/26/2015,47,68
BenHur,1/27/2015,48,74
BenHur,1/28/2015,47,75
BenHur,1/29/2015,51,73
BenHur,1/30/2015,40,66
BenHur,1/31/2015,46,69
BenHur,2/1/2015,55,71
BenHur,2/2/2015,42,55
BenHur,2/3/2015,38,48
BenHur,2/4/2015,48,52
BenHur,2/5/2015,37,56
BenHur,2/6/2015,36,58
BenHur,2/7/2015,36,68
BenHur,2/8/2015,53,77
BenHur,2/9/2015,58,79
BenHur,2/10/2015,48,70
BenHur,2/11/2015,39,80
BenHur,2/12/2015,40,67
BenHur,2/13/2015,35,59
BenHur,2/14/2015,37,79
BenHur,2/15/2015,61,66
BenHur,2/16/2015,41,69
BenHur,2/17/2015,35,55
BenHur,2/18/2015,34,62
BenHur,2/19/2015,38,55
BenHur,2/20/2015,42,69
BenHur,2/21/2015,62,68
BenHur,2/22/2015,44,71
BenHur,2/23/2015,36,43
BenHur,2/24/2015,32,47
BenHur,2/25/2015,38,47
BenHur,2/26/2015,38,52
BenHur,2/27/2015,39,55
BenHur,2/28/2015,31,67
BenHur,3/1/2015,62,78
BenHur,3/2/2015,57,67
BenHur,3/3/2015,56,85
BenHur,3/4/2015,72,83
BenHur,3/5/2015,39,78
BenHur,3/6/2015,31,54
BenHur,3/7/2015,25,68
BenHur,3/8/2015,53,75
BenHur,3/9/2015,56,70
BenHur,3/10/2015,61,72
BenHur,3/11/2015,60,64
BenHur,3/12/2015,67,73
BenHur,3/13/2015,65,79
BenHur,3/14/2015,63,72
BenHur,3/15/2015,67,80
BenHur,3/16/2015,62,86
BenHur,3/17/2015,61,90
BenHur,3/18/2015,70,79
BenHur,3/19/2015,68,83
BenHur,3/20/2015,71,90
BenHur,3/21/2015,69,82
BenHur,3/22/2015,56,79
BenHur,3/23/2015,58,72
BenHur,3/24/2015,54,81
BenHur,3/25/2015,60,84
BenHur,3/26/2015,57,78
BenHur,3/27/2015,51,76
BenHur,3/28/2015,53,74
BenHur,3/29/2015,50,80
BenHur,3/30/2015,62,83
BenHur,3/31/2015,66,80
BenHur,4/1/2015,69,77
BenHur,4/2/2015,72,86
BenHur,4/3/2015,65,84
BenHur,4/4/2015,54,75
BenHur,4/5/2015,54,75
BenHur,4/6/2015,64,80
BenHur,4/7/2015,63,82
BenHur,4/8/2015,64,90
BenHur,4/9/2015,76,87
BenHur,4/10/2015,66,88
BenHur,4/11/2015,67,73
BenHur,4/12/2015,71,83
BenHur,4/13/2015,73,89
BenHur,4/14/2015,69,78
BenHur,4/15/2015,68,84
BenHur,4/16/2015,73,78
BenHur,4/17/2015,67,88
BenHur,4/18/2015,69,79
BenHur,4/19/2015,66,88
BenHur,4/20/2015,66,80
BenHur,4/21/2015,57,85
BenHur,4/22/2015,64,87
BenHur,4/23/2015,78,88
BenHur,4/24/2015,68,87
BenHur,4/25/2015,68,83
BenHur,4/26/2015,72,88
BenHur,4/27/2015,62,76
BenHur,4/28/2015,58,68
BenHur,4/29/2015,53,76
BenHur,4/30/2015,55,84
BenHur,5/1/2015,61,85
BenHur,5/2/2015,64,86
BenHur,5/3/2015,66,83
BenHur,5/4/2015,60,84
BenHur,5/5/2015,65,88
BenHur,5/6/2015,69,84
BenHur,5/7/2015,73,89
BenHur,5/8/2015,72,91
BenHur,5/9/2015,75,92
BenHur,5/10/2015,75,93
BenHur,5/11/2015,63,85
BenHur,5/12/2015,71,86
BenHur,5/13/2015,64,82
BenHur,5/14/2015,70,88
BenHur,5/15/2015,77,90
BenHur,5/16/2015,75,89
BenHur,5/17/2015,81,88
